objectid,filename,format,title,tagline,subject,website,bookstorestatus,latitude,longitude,location,date,designer,source,color,material,size,damage,note
bookmark012,bookmark012.png,image/png,"Printed Matter, Inc.","The world’s leading non-profit organization dedicated to the dissemination, understanding and appreciation of artists’ books.",Artist books; New books; Ephemera; Posters; Zines; Art books,https://www.printedmatter.org,Open,40.75141053422634,-74.00588398531646,"New York City, New York; Northeast; Middle Atlantic",2018-07,,Erin Walden,Black; White,Card stock,"6"" x 2""",,
bookmark013,bookmark013.png,image/png,Strand Book Store,18 miles of books,Used books; New books; Rare books; Gifts; Signed copies,https://www.strandbooks.com,Open,40.73347904342694,-73.99096394716247,"New York City, New York; Northeast; Middle Atlantic",2019,,Erin Walden,Red; White; Tan,Card stock; Coated paper,"6.5"" x 2""",,
bookmark014,bookmark014.jpg,image/jpeg,Three Lives & Company,A haven for people who read.,New books; Special orders; Used books,https://www.threelives.com,Open,40.734582010325035,-74.00156157913561,"New York City, New York; Northeast; Middle Atlantic",2022,,Erin Walden,White; Black; Red,Card stock,"5.4"" x 2.75""",Fold,
bookmark015,bookmark015.jpg,image/jpeg,Bookhaven,"We boast a large selection of books, a calm atmosphere, and two of the fluffiest cats.",Used books; Bookstore cats; Cookbooks; Art books,https://www.instagram.com/bookhaven_philly,Open,39.96734153919096,-75.17404695436764,"Philadelphia, Pennsylvania; Northeast; Middle Atlantic",2020,,Erin Walden,White; Blue,Card stock,"3.5"" x 2""",,
bookmark016,bookmark016.jpg,image/jpeg,Joseph Fox Bookshop,"Indie bookshop with a carefully curated selection from art, design & children's books to literature, non-fiction & small presses. Established 1951.",Art books; Design books; Literary fiction; Architecture books,https://www.foxbookshop.com,Closed permanently,39.95092926640814,-75.1697618357854,"Philadelphia, Pennsylvania; Northeast; Middle Atlantic",2022-01,,Erin Walden,White; Black,Card stock,"7.1"" x 2""",,"Though no longer in operation, Joseph Fox was my beacon of light during COVID-19. In a new city where I didn’t know anyone, I found myself spending hours on end browsing their perfectly curated bookshelves."
bookmark017,bookmark017.png,image/png,Two Dollar Radio Headquarters,Thank you for supporting independent culture—feel good about yourself!,Cafe; New books; Literary fiction; Indie press,https://twodollarradiohq.com/,Open,"39.940815167123546, -82.98300792738316",-82.98300792738316,"Columbus, Ohio; Midwest; East North Central",2022-12-15,,Erin Walden,Red-Orange; Orange; Yellow-Orange; Yellow; Blue-Green,Card stock; Coated paper,"6"" x 2""",,
bookmark018,bookmark018.png,image/png,Indy Reads,Learn together!,Used books; New books; Literacy; Education; Language learning,https://www.indyreads.org,Open,39.75392220301003,-86.13992754359296,"Indianapolis, Indiana; Midwest; East North Central",2022-10-09,,Erin Walden,Blue; Blue-Green; White,Card stock; Coated paper,"8"" x 2""",,
bookmark019,bookmark019.png,image/png,Myopic Books,"Home to 70,000 books.",Used books; Literary fiction; Philosophy; Live music,https://www.myopicbookstore.com,Open,41.91001084257054,-87.67687463205515,"Chicago, Illinois; Midwest; East North Central",2022-07-15,Eliza N. Weber,Erin Walden,White; Black,Card stock,"6.8"" x 2""",Crese; Fold,
bookmark020,bookmark020.png,image/png,Pilsen Community Books,Worker Owned & Operated Since 2020,New books; Used books; Literary fiction,https://www.pilsencommunitybooks.com,Open,41.85827957838754,-87.6536785050719,"Chicago, Illinois; Midwest; East North Central",2022-07-16,,Erin Walden,Blue; Yellow,Card stock; Coated paper; Glazed paper,"7"" x 1.9""",Delamination,
bookmark021,bookmark021.png,image/png,Quimby's Bookstore,"Unusual publications, aberrant periodicals, saucy comic books, assorted fancies PLUS! Tons of zines!",Zines; Comics; Indie press; Used books; New books; Graphic novels; Photo booth,https://www.quimbys.com,Open,41.91079781362783,-87.67477373200703,"Chicago, Illinois; Midwest; East North Central",2022-07-15,Mike Centeno,Erin Walden,Red; Red-Violet; Violet; White; Blue-green; Multi-color,Card stock; Coated paper; Glazed paper,"7"" x 2""",Crease,
bookmark022,bookmark022.jpg,image/jpeg,Unabridged Bookstore,Since 1980,LGBTQ Literature; Children's books; New books,https://www.unabridgedbookstore.com,Open,41.941766357182274,-87.64430333200555,"Chicago, Illinois; Midwest; East North Central",2022-11-06,,Erin Walden,White; Black,Card stock,"5.5"" x 2.1""",,
bookmark023,bookmark023.png,image/png,Boulder Book Store,For the Love of Books Since 1973,Used books; New books,https://www.boulderbookstore.net,Open,40.0181846031035,-105.28120421860605,"Boulder, Colorado; West; Mountain",2023,,Celia Walden,Red; White,Card stock,"6"" x 1.8""",,
bookmark024,bookmark024.png,image/png,Powell's Books,Used and new books,Used books; New books; Rare books; Gifts; Signed copies,https://www.powells.com,Open,45.523228010602196,-122.68126927462653,"Portland, Oregon; West; Pacific",2019-08-25,,Erin Walden,Blue; Blue-green; Red; White,Card stock,"7.25 x 2.1""",,
bookmark025,bookmark025.png,image/png,Powell's Books: Pride Month,Used and new books,Used books; New books; Rare books; Gifts; Signed copies,https://www.powells.com,Open,45.523228010602196,-122.68126927462653,"Portland, Oregon; West; Pacific",2019-08-25,,Erin Walden,White; Multi-color; Blue-green,Card stock,"7.5"" x 2.1""",Crease,
bookmark026,bookmark026.png,image/png,Powell's Books: LGBTQ Fiction Before Stonewall,Used and new books,Used books; New books; Rare books; Gifts; Signed copies,https://www.powells.com,Open,45.523228010602196,-122.68126927462653,"Portland, Oregon; West; Pacific",2018-08-29,,Erin Walden,Violet,Card stock; Colored paper,"8.5"" 2.1""",Crease; Wrinkling; Light Degradation,
bookmark027,bookmark027.png,image/png,Lighthouse Bookshop,Edinburgh's Radical Bookshop,LGBTQ Literature; New books; Feminism; Antiracism; Environmentalism; Accesibility; Community; Solidarity,https://www.lighthousebookshop.com,Open,55.94478928284109,-3.185477931230778,"Edinburgh, Scotland",2022-06,,Greta Skagerlind,Blue-green; Yellow-orange; Red,Card stock; Coated paper,"5.75"" x 2""",Crease; Delamination,
bookmark028,bookmark028.png,image/png,Cambridge University Press Bookshop,Books sold here since 1581,New books; Academic books; Gifts; Art books,https://www.cambridgebookshop.co.uk,Open,52.20581009853921,0.11800219612355564,"Cambridge, England",2023-07-10,,Kathryn Huang,White; Black,Card stock; Coated paper; Glazed paper,"8.25"" x 2.75""",Warp; Delamination,
bookmark029,bookmark029.png,image/png,Persephone Books LTD: Dimanche and Other Stories,"Persephone Books reprints neglected fiction and non-fiction, mostly by women writers and mostly dating from the mid-twentieth century.",New books; Indie press; Women's writing,https://persephonebooks.co.uk/,Open,51.38516023191745,-2.361855030460636,"Bath, England",2023-07-13,,Kathryn Huang,Black; White,Card stock; Coated paper,"7.1"" x 2.25""",,
bookmark030,bookmark030.png,image/png,Persephone Books LTD: The Victorian Chaise-Longue,"Persephone Books reprints neglected fiction and non-fiction, mostly by women writers and mostly dating from the mid-twentieth century.",New books; Indie press; Women's writing,https://persephonebooks.co.uk/,Open,51.38516023191745,-2.361855030460636,"Bath, England",2023-07-13,,Kathryn Huang,Yellow; White; Red,Card stock; Coated paper,"7.1"" x 2.25""",,
bookmark031,bookmark031.png,image/png,She said,Bookshop for female and queer authors,Cafe; LGBTQ Literature; New books; Feminism,https://www.shesaid.de,Open,52.491577090729386,13.423331361665815,"Berlin, Germany",2022,,Elisabeth Schifrin,Violet; Red-violet,Card stock; Embossed paper; Perforating; ; Colored paper,"8.25"" x 2.1""",Crease; Delamination,
bookmark032,bookmark032.jpg,image/jpeg,Café Sōseki カフェ漱石,Enjoy the works of Natsume Soseki and related books together with an original Soseki-themed menu.,Cafe; Museum,https://soseki-museum.jp/eng/,Open,35.70407221808767,139.72539544728238,"Shinjuku City, Tokyo, Japan",2023-10-01,,Anita Sheih,White; Black,Card stock,"4.8"" x 1.6""",,
